Monkey Hunt - Monkey Distribution,,,,,,,,,,,
,,,,,,,,,,,
,,Additional Info/Reference,,,,,,,,,
S/No,Zone,Details of Location,Nearby Monkey,Multi?,On-Glass?,Look Up?,Look Down?,Street Level?,Only Tail?,Hunt Difficulty,Hint?
73,Exit 5,Staircase (middle segment),,72,Yes,,,,,***,
74,Exit 3,Escalator near street level,,"58,75,76",No,Yes,No,Yes,No,,
75,Exit 3,Escalator near street level,,"58,74,76",No,Yes,No,Yes,No,,
76,Exit 3,Escalator near street level,,"58,74,75",No,Yes,No,Yes,No,,
77,Exit 2,"In between 2 floors, noticable only when you go down the escalator",,,No,Yes,No,Yes,No,****,Safety: Please hold on to the handrail and pay attention to your surroundings
78,Exit 5,"Under Fire Extinguisher sign, near escalator","33,46,47",32,No,No,No,No,No,,
79,Exit 2,Walkway near the bus stop,,80,Yes,No,Yes,Yes,No,,
80,Exit 2,Walkway near the bus stop,,79,Yes,No,Yes,Yes,No,,
81,Exit 5,Façade of Exit 5 facing main road (above Exit Staircase 1),,55,No,Yes,No,Yes,No,,
82,Concourse,"Near Passenger Service, hidden in the back alley",19.22,,,,,,,,Monkeys may need help getting around
83,Exit 4,"Along the walkway, near the fire extinguisher banner closer to exit 4",,,,,,,Yes,*****,
84,Exit 4,"Along the walkway, near the fire extinguisher banner closer to exit 4",,,,,,,,,
85,Exit 4,Staircase,,,,Yes,,,,,
86,Exit 4,Between escalator,,,,,,,,,
87,Exit 2,"Near lift of exit, end of tunnel (concourse)",,88,,,,,,,
88,Exit 2,"Near lift of exit, end of tunnel (concourse)",,87,,,,,,,
